001,000,001,000,000,000,000,001,000,001,001,001
005,005,002,001,000,000,001,006,008,010,015,014
010,005,008,006,001,000,001,004,025,036,013,031
007,022,011,000,001,002,000,001,007,019,011,012
009,023,004,000,005,008,005,000,006,015,019,094
019,015,006,000,012,031,022,002,011,019,037,022
048,041,005,001,016,054,022,016,015,043,218,030
083,033,002,004,029,056,053,020,009,040,054,045
390,219,001,007,034,058,073,035,001,028,684,416
390,195,006,046,098,081,144,113,003,025,296,389
099,041,008,047,089,072,059,058,014,003,055,051
084,022,012,093,073,086,054,050,024,006,031,054
047,003,013,104,078,075,040,030,019,004,045,067
016,005,014,079,056,218,036,152,019,001,054,031
001,003,022,196,198,052,158,032,026,003,001,003
002,001,014,032,023,031,007,011,008,004,000,001
001,002,005,011,004,005,015,008,006,002,004,000
000,001,000,000,000,002,002,001,002,001,000,000
